OID,fid_1,id,tree_cat,Name_Tree_,Photo,Descriptio,Date,in_avgtemp,in_avghum,ot_avgtemp,ot_avghum,tree_den,build_den,dis_to_bui,dis_to_wat,lat,long
-1,6235,21,15,olive,C:\Users\jadoo\Downloads\nust_17.jpg,oleaceae,03/02/2024 0:00,27.8071995,35.7877007,24.9407997,46.6332016,9284.410156,92.0154037,13.4031,339.3389893,33.64007084,72.98453904
-1,6236,21,15,olive,C:\Users\jadoo\Downloads\nust_17.jpg,oleaceae,03/02/2024 0:00,27.8071995,35.7877007,24.9407997,46.6332016,10745.7998,92.0154037,9.4774103,331.7090149,33.6400654,72.98456639
-1,6237,21,15,olive,C:\Users\jadoo\Downloads\nust_17.jpg,oleaceae,03/02/2024 0:00,27.8071995,35.8039017,24.9484997,46.5923996,10745.7998,92.0154037,9.4774103,331.7090149,33.64006048,72.98459207
-1,6238,21,15,olive,C:\Users\jadoo\Downloads\nust_17.jpg,oleaceae,03/02/2024 0:00,27.8071995,35.8039017,24.9484997,46.5923996,10745.7998,92.0154037,9.4774103,331.7090149,33.6400571,72.9846175
-1,6239,21,15,olive,C:\Users\jadoo\Downloads\nust_17.jpg,oleaceae,03/02/2024 0:00,27.8071995,35.8039017,24.9484997,46.5923996,10745.7998,92.0154037,9.4774103,331.7090149,33.64005171,72.98464761
-1,6240,21,15,olive,C:\Users\jadoo\Downloads\nust_17.jpg,oleaceae,03/02/2024 0:00,27.8068008,35.8213005,24.9563007,46.5533981,10917.7998,92.0154037,9.4774103,324.177002,33.64004672,72.98467528
-1,6241,21,15,olive,C:\Users\jadoo\Downloads\nust_17.jpg,oleaceae,03/02/2024 0:00,27.8068008,35.8213005,24.9563007,46.5533981,10917.7998,92.0154037,9.4774103,324.177002,33.64004122,72.98469987
-1,6242,21,15,olive,C:\Users\jadoo\Downloads\nust_17.jpg,oleaceae,03/02/2024 0:00,27.8068008,35.8213005,24.9563007,46.5533981,10917.7998,92.0154037,9.4774103,324.177002,33.6400371,72.98473293
-1,6243,21,15,olive,C:\Users\jadoo\Downloads\nust_17.jpg,oleaceae,03/02/2024 0:00,27.8038998,35.839901,24.9640999,46.5163994,10917.7998,92.0154037,9.4774103,324.177002,33.64003625,72.98475203
-1,6244,21,15,olive,C:\Users\jadoo\Downloads\nust_17.jpg,oleaceae,03/02/2024 0:00,27.8038998,35.839901,24.9640999,46.5163994,10917.7998,92.0154037,9.4774103,324.177002,33.64005488,72.9847573
-1,6245,21,15,olive,C:\Users\jadoo\Downloads\nust_17.jpg,oleaceae,03/02/2024 0:00,27.8038998,35.839901,24.9640999,46.5163994,10831.7998,92.0154037,13.4031,316.75,33.64007696,72.98476439
-1,6246,21,15,olive,C:\Users\jadoo\Downloads\nust_17.jpg,oleaceae,03/02/2024 0:00,27.8041,35.8390999,24.9825001,46.4370995,10831.7998,92.0154037,13.4031,316.75,33.64009892,72.9847707
-1,6247,21,15,olive,C:\Users\jadoo\Downloads\nust_17.jpg,oleaceae,03/02/2024 0:00,27.8041,35.8390999,24.9825001,46.4370995,10144.09961,92.0154037,9.4774103,310.8819885,33.64012645,72.98477967
-1,6248,21,15,olive,C:\Users\jadoo\Downloads\nust_17.jpg,oleaceae,03/02/2024 0:00,27.8041,35.8390999,24.9825001,46.4370995,10144.09961,92.0154037,9.4774103,310.8819885,33.64014572,72.98478405
-1,6249,21,15,olive,C:\Users\jadoo\Downloads\nust_17.jpg,oleaceae,03/02/2024 0:00,27.7987995,35.8576012,25.0100002,46.3193016,9198.44043,92.0154037,9.4774103,297.5969849,33.64022921,72.98486531
-1,6250,21,15,olive,C:\Users\jadoo\Downloads\nust_17.jpg,oleaceae,03/02/2024 0:00,27.7987995,35.8576012,25.0100002,46.3193016,9198.44043,92.0154037,9.4774103,297.5969849,33.64022558,72.98488921
-1,6251,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.7905006,35.8783989,25.0188999,46.2840996,9198.44043,92.0154037,9.4774103,297.5969849,33.64020903,72.98493433
-1,6252,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.7905006,35.8783989,25.0188999,46.2840996,9198.44043,92.0154037,9.4774103,297.5969849,33.64021033,72.9849579
-1,6253,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.7905006,35.8783989,25.0188999,46.2840996,8166.839844,184.0310059,0,290.1080017,33.64021035,72.98498926
-1,6254,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.7794991,35.9002991,25.0277996,46.2510986,8166.839844,184.0310059,0,290.1080017,33.64020655,72.98501264
-1,6255,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.7794991,35.9002991,25.0277996,46.2510986,8166.839844,184.0310059,0,290.1080017,33.64019879,72.98504274
-1,6256,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.7794991,35.9002991,25.0277996,46.2510986,6877.339844,184.0310059,9.4774103,282.7380066,33.6401948,72.98507121
-1,6257,6,6,pine,C:\Users\jadoo\Downloads\nust_28.jpg,pinaceae,27/12/2023 0:00,28.1464996,34.5936012,26.5904007,39.4505005,10659.90039,0,47.3871002,379.3330078,33.64525625,72.9864322
-1,6272,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7080002,25.2921009,44.3120003,6791.370117,0,170.8560028,556.5910034,33.64553398,72.9832385
-1,6273,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7052994,25.2656002,44.4459,6791.370117,0,170.8560028,556.5910034,33.64550506,72.98321602
-1,6274,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7055016,25.2674007,44.4476013,6275.569824,0,178.8190002,563.0889893,33.64546514,72.98319646
-1,6275,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7055016,25.2674007,44.4476013,6103.640137,0,173.9819946,556.2680054,33.64542918,72.98317671
-1,6276,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7055016,25.2674007,44.4476013,6103.640137,0,173.9819946,556.2680054,33.64539323,72.98315695
-1,6277,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7033005,25.2427006,44.5847015,5759.77002,0,169.5370026,549.526001,33.64535239,72.98313505
-1,6278,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7033005,25.2427006,44.5847015,5759.77002,0,169.5370026,549.526001,33.64531754,72.98312161
-1,6279,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7034988,25.2436008,44.5903015,4642.200195,0,174.2400055,549.6900024,33.64528445,72.98309535
-1,6280,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7034988,25.2436008,44.5903015,4642.200195,0,174.2400055,549.6900024,33.64525988,72.98308062
-1,6281,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7034988,25.2436008,44.5903015,4642.200195,0,174.2400055,549.6900024,33.64523387,72.98306914
-1,6282,26,10,sukhchain tree,C:\Users\jadoo\Downloads\nust_22.jpg,moraceae,17/02/2024 0:00,27.8071995,35.7015991,25.2185993,44.7304993,4642.200195,0,174.2400055,549.6900024,33.64520714,72.98305929
